Transformer_ID,Winding_Type,Test_Date,Frequency_Hz,Magnitude_dB,Phase_deg
TR001,HV,2026-03-05,10.0,1.85,-28.25
TR001,HV,2026-03-05,12.067926406393289,4.9,-15.55
TR001,HV,2026-03-05,14.563484775012435,-2.88,5.86
TR001,HV,2026-03-05,17.57510624854792,2.58,2.97
TR001,HV,2026-03-05,21.209508879201906,0.99,-3.47
TR001,HV,2026-03-05,25.59547922699536,-0.73,-37.31
TR001,HV,2026-03-05,30.888435964774818,1.28,-29.4
TR001,HV,2026-03-05,37.2759372031494,1.05,-15.06
TR001,HV,2026-03-05,44.98432668969444,-0.51,8.39
TR001,HV,2026-03-05,54.286754393238596,1.05,-8.73
TR001,HV,2026-03-05,65.51285568595509,3.2,11.09
TR001,HV,2026-03-05,79.06043210907697,0.17,-4.41
TR001,HV,2026-03-05,95.40954763499938,-2.69,-2.84
TR001,HV,2026-03-05,115.1395399326447,-0.74,15.99
TR001,HV,2026-03-05,138.94954943731375,1.46,18.2
TR001,HV,2026-03-05,167.68329368110065,0.18,-9.39
TR001,HV,2026-03-05,202.35896477251555,-1.28,-5.11
TR001,HV,2026-03-05,244.20530945486496,1.82,-13.91
TR001,HV,2026-03-05,294.705170255181,0.16,-9.78
TR001,HV,2026-03-05,355.64803062231283,1.1,-2.83
TR001,HV,2026-03-05,429.1934260128778,-1.41,-8.03
TR001,HV,2026-03-05,517.9474679231213,4.23,-11.62
TR001,HV,2026-03-05,625.0551925273969,-0.26,4.49
TR001,HV,2026-03-05,754.3120063354615,2.92,9.76
TR001,HV,2026-03-05,910.2981779915218,0.95,16.54
TR001,HV,2026-03-05,1098.5411419875584,1.38,9.06
TR001,HV,2026-03-05,1325.7113655901082,-1.44,3.99
TR001,HV,2026-03-05,1599.8587196060573,1.6,-17.78
TR001,HV,2026-03-05,1930.6977288832495,-0.86,3.07
TR001,HV,2026-03-05,2329.951810515372,-2.69,-11.18
TR001,HV,2026-03-05,2811.768697974228,-1.64,-14.34
TR001,HV,2026-03-05,3393.221771895326,2.63,29.36
TR001,HV,2026-03-05,4094.915062380423,-2.27,5.13
TR001,HV,2026-03-05,4941.713361323833,2.03,19.38
TR001,HV,2026-03-05,5963.623316594642,1.41,-19.07
TR001,HV,2026-03-05,7196.856730011514,-0.67,-6.94
TR001,HV,2026-03-05,8685.11373751352,-1.01,7.39
TR001,HV,2026-03-05,10481.131341546852,2.93,5.14
TR001,HV,2026-03-05,12648.552168552958,-0.79,-5.26
TR001,HV,2026-03-05,15264.179671752303,1.7,22.22
TR001,HV,2026-03-05,18420.699693267165,0.22,-2.47
TR001,HV,2026-03-05,22229.96482526191,-0.13,-27.67
TR001,HV,2026-03-05,26826.95795279727,3.77,1.98
TR001,HV,2026-03-05,32374.5754281764,2.12,-12.84
TR001,HV,2026-03-05,39069.399370546125,-0.86,7.88
TR001,HV,2026-03-05,47148.663634573895,-1.55,-21.08
TR001,HV,2026-03-05,56898.66029018293,1.31,27.64
TR001,HV,2026-03-05,68664.88450042998,3.44,22.4
TR001,HV,2026-03-05,82864.27728546843,2.02,-11.03
TR001,HV,2026-03-05,100000.0,-2.38,-17.26
TR002,LV,2026-03-05,10.0,1.72,10.51
TR002,LV,2026-03-05,12.067926406393289,4.29,-6.39
TR002,LV,2026-03-05,14.563484775012435,0.11,22.68
TR002,LV,2026-03-05,17.57510624854792,0.54,19.38
TR002,LV,2026-03-05,21.209508879201906,-3.3,6.46
TR002,LV,2026-03-05,25.59547922699536,-2.4,5.43
TR002,LV,2026-03-05,30.888435964774818,-4.27,-18.49
TR002,LV,2026-03-05,37.2759372031494,-3.47,2.24
TR002,LV,2026-03-05,44.98432668969444,-0.62,23.58
TR002,LV,2026-03-05,54.286754393238596,1.03,-1.51
