Transformer_ID,Winding_Type,Test_Date,Frequency_Hz,Magnitude_dB,Phase_deg
TR001,LV,2026-03-24,10.0,4.08,-9.55
TR001,LV,2026-03-24,10.473708979594498,2.0,5.22
TR001,LV,2026-03-24,10.969857978923836,-1.22,24.59
TR001,LV,2026-03-24,11.489510001873091,0.31,7.66
TR001,LV,2026-03-24,12.033778407775893,1.82,2.67
TR001,LV,2026-03-24,12.603829296797274,-1.86,11.1
TR001,LV,2026-03-24,13.200884008314182,-5.19,-6.38
TR001,LV,2026-03-24,13.826221737646557,-3.61,9.54
TR001,LV,2026-03-24,14.481182276745338,0.67,6.12
TR001,LV,2026-03-24,15.167168884709225,2.78,-3.28
TR001,LV,2026-03-24,15.885651294280526,-1.15,-7.61
TR001,LV,2026-03-24,16.63816886076129,0.12,-17.52
TR001,LV,2026-03-24,17.4263338600965,0.77,7.67
TR001,LV,2026-03-24,18.251834943190435,-2.5,-3.35
TR001,LV,2026-03-24,19.116440753857017,5.14,4.85
TR001,LV,2026-03-24,20.022003718155844,0.08,10.34
TR001,LV,2026-03-24,20.970464013232327,-0.13,-8.28
TR001,LV,2026-03-24,21.963853724165457,-2.21,15.31
TR001,LV,2026-03-24,23.00430119772918,1.04,-9.28
TR001,LV,2026-03-24,24.094035602395245,-2.47,-0.79
TR001,LV,2026-03-24,25.23539170434766,-2.17,21.21
TR001,LV,2026-03-24,26.430814869741056,-0.15,-7.22
TR001,LV,2026-03-24,27.682866303920665,-0.08,-5.99
TR001,LV,2026-03-24,28.994228538828768,1.22,-1.52
TR001,LV,2026-03-24,30.367711180354576,1.43,5.77
TR001,LV,2026-03-24,31.80625692794119,-0.33,14.12
TR001,LV,2026-03-24,33.31294787934674,-2.12,-14.69
TR001,LV,2026-03-24,34.891012134067736,-2.42,-14.22
TR001,LV,2026-03-24,36.54383070957256,-0.71,16.36
TR001,LV,2026-03-24,38.274944785163115,2.29,28.67
TR001,LV,2026-03-24,40.08806328898464,2.37,-1.58
TR001,LV,2026-03-24,41.9870708444391,-2.59,-18.71
TR001,LV,2026-03-24,43.97603609302721,-2.03,33.49
TR001,LV,2026-03-24,46.05922041145106,-4.69,14.55
TR001,LV,2026-03-24,48.241087041653685,2.77,-25.3
TR001,LV,2026-03-24,50.526310653356795,-0.34,3.33
TR001,LV,2026-03-24,52.91978735958442,-2.75,17.67
TR001,LV,2026-03-24,55.42664520663107,-0.6,-23.77
