Transformer_ID,Frequency_Hz,Magnitude_dB,Phase_Degree,Winding_Type,Test_Condition,Temperature_C,Test_Date
TX-001,749092.75,-77.49,51.13,HV,Winding Deformation,74.7,2025-01-01
TX-002,1901429.6,-29.09,-149.71,LV,Winding Deformation,27.9,2025-01-02
TX-003,1463993.24,-54.85,-121.81,Tertiary,Healthy,85.2,2025-01-03
TX-004,1197325.0,-39.31,143.48,Tertiary,Core Displacement,88.2,2025-01-04
TX-005,312054.16,-7.39,38.31,Tertiary,Winding Deformation,89.7,2025-01-05
TX-006,312005.92,-60.06,-176.69,HV,Core Displacement,23.9,2025-01-06
TX-007,116186.06,-47.17,-143.47,LV,Core Displacement,71.6,2025-01-07
TX-008,1732354.97,-19.56,58.86,LV,Healthy,58.2,2025-01-08
TX-009,1202238.0,-61.7,-178.18,LV,Winding Deformation,69.4,2025-01-09
TX-010,1416150.99,-73.84,-122.11,Tertiary,Loose Connection,87.8,2025-01-10
TX-011,41188.58,-56.82,17.54,HV,Healthy,68.2,2025-01-11
TX-012,1939820.31,-67.1,69.08,Tertiary,Winding Deformation,78.6,2025-01-12
TX-013,1664888.63,-5.62,54.71,Tertiary,Winding Deformation,80.7,2025-01-13
TX-014,424693.97,-15.35,-99.26,LV,Winding Deformation,78.7,2025-01-14
TX-015,363666.3,-29.33,76.38,Tertiary,Winding Deformation,49.8,2025-01-15
TX-016,366825.35,-10.28,-94.59,LV,Winding Deformation,35.6,2025-01-16
TX-017,608498.4,-15.71,-62.86,HV,Core Displacement,47.8,2025-01-17
TX-018,1049522.37,-65.07,88.74,LV,Healthy,82.4,2025-01-18
TX-019,863901.4,-8.6,53.87,HV,Core Displacement,30.3,2025-01-19
TX-020,582472.46,-36.85,125.72,LV,Loose Connection,55.9,2025-01-20
TX-021,1223713.55,-15.4,56.74,Tertiary,Winding Deformation,36.3,2025-01-21
TX-022,279004.93,-8.31,24.59,Tertiary,Healthy,60.7,2025-01-22
TX-023,584303.45,-54.56,-146.28,HV,Winding Deformation,80.4,2025-01-23
TX-024,732736.36,-71.2,-47.62,HV,Healthy,81.6,2025-01-24
TX-025,912150.85,-61.77,-84.53,HV,Core Displacement,36.6,2025-01-25
TX-026,1570356.22,-45.83,-92.16,LV,Healthy,83.5,2025-01-26
TX-027,399363.57,-14.56,170.28,LV,Loose Connection,61.4,2025-01-27
TX-028,1028478.59,-11.14,-38.48,HV,Loose Connection,44.5,2025-01-28
